Repayment ID,Loan ID,Payment Date,Amount Paid,Payment Status,Remaining Balance,Next Payment Due Date,Late Payment Fees,Total Missed Payments,Days Past Due,Final Settlement Amount,Default Flag,Date of Default,Default Resolution Status
10001,10001,2024-01-15,800,Paid,5100,2024-02-15,0,0,0,,false,,
10002,10002,2024-01-20,1200,Paid,3800,2024-02-20,0,0,0,,false,,
10003,10003,2024-01-10,500,Late,4600,2024-02-10,10,1,5,,false,,
10004,10004,2024-01-25,900,Paid,3900,2024-02-25,0,0,0,,false,,
10005,10005,2024-02-01,700,Paid,3300,2024-03-01,0,0,0,,false,,
10006,10006,2024-02-05,600,Late,2700,2024-03-05,20,2,10,,false,,
10007,10007,2024-02-15,800,Paid,1900,2024-03-15,0,0,0,,false,,
10008,10008,2024-03-01,1200,Paid,700,2024-04-01,0,0,0,,false,,
10009,10009,2024-03-05,900,Late,800,2024-04-05,30,3,15,,false,,
10010,10010,2024-03-15,600,Paid,200,2024-04-15,0,0,0,,false,,
10011,10011,2024-04-01,800,Paid,0,2024-05-01,0,0,0,800,false,,
10012,10012,2024-04-05,1200,Paid,0,2024-05-05,0,0,0,1200,false,,
10013,10013,2024-04-15,900,Paid,0,2024-05-15,0,0,0,900,false,,
10014,10014,2024-05-01,1000,Paid,0,2024-06-01,0,0,0,1000,false,,
10015,10015,2024-05-05,1100,Paid,0,2024-06-05,0,0,0,1100,false,,
10016,10016,2024-05-15,800,Paid,0,2024-06-15,0,0,0,800,false,,
10017,10017,2024-06-01,1200,Paid,0,2024-07-01,0,0,0,1200,false,,
10018,10018,2024-06-05,900,Late,0,2024-07-05,40,4,20,,true,2024-06-05,Defaulted
10019,10019,2024-03-20,650,Paid,150,2024-04-20,0,0,0,650,false,,
10020,10020,2024-04-10,700,Paid,0,2024-05-10,0,0,0,700,false,,
10021,10021,2024-04-25,1300,Paid,0,2024-05-25,0,0,0,1300,false,,
10022,10022,2024-05-10,1050,Paid,0,2024-06-10,0,0,0,1050,false,,
10023,10023,2024-05-20,1150,Late,0,2024-06-20,50,5,25,,true,2024-05-20,Defaulted
10024,10024,2024-06-10,1250,Paid,0,2024-07-10,0,0,0,1250,false,,
10025,10025,2024-06-15,800,Paid,0,2024-07-15,0,0,0,800,false,,
10026,10026,2024-07-01,900,Paid,0,2024-08-01,0,0,0,900,false,,
10027,10027,2024-07-05,1200,Paid,0,2024-08-05,0,0,0,1200,false,,
10028,10028,2024-07-15,1000,Late,0,2024-08-15,60,6,30,,true,2024-07-15,Defaulted
10029,10029,2024-08-01,1100,Paid,0,2024-09-01,0,0,0,1100,false,,
10030,10030,2024-08-05,1300,Paid,0,2024-09-05,0,0,0,1300,false,,
10031,10031,2024-08-15,1050,Paid,0,2024-09-15,0,0,0,1050,false,,
10032,10032,2024-09-01,900,Paid,0,2024-10-01,0,0,0,900,false,,
10033,10033,2024-09-05,1200,Paid,0,2024-10-05,0,0,0,1200,false,,
10034,10034,2024-09-15,1100,Late,0,2024-10-15,80,8,40,,true,2024-09-15,Defaulted
10035,10035,2024-10-01,1300,Paid,0,2024-11-01,0,0,0,1300,false,,
10036,10036,2024-10-05,1000,Paid,0,2024-11-05,0,0,0,1000,false,,
10037,10037,2024-10-15,900,Paid,0,2024-11-15,0,0,0,900,false,,
10038,10038,2024-08-10,1200,Paid,0,2024-09-10,0,0,0,1200,false,,
10039,10039,2024-08-20,1050,Paid,0,2024-09-20,0,0,0,1050,false,,
10040,10040,2024-09-02,1300,Paid,0,2024-10-02,0,0,0,1300,false,,
10041,10041,2024-09-06,1100,Late,0,2024-10-06,60,6,30,,true,2024-09-06,Defaulted
10042,10042,2024-09-16,1000,Paid,0,2024-10-16,0,0,0,1000,false,,
10043,10043,2024-10-02,1400,Paid,0,2024-11-02,0,0,0,1400,false,,
10044,10044,2024-10-16,1250,Paid,0,2024-11-16,0,0,0,1250,false,,
10045,10045,2024-11-01,1150,Late,0,2024-12-01,90,9,40,,true,2024-11-01,Defaulted
10046,10046,2024-11-05,980,Paid,0,2024-12-05,0,0,0,980,false,,
10047,10047,2024-11-15,1080,Paid,0,2024-12-15,0,0,0,1080,false,,
10048,10048,2024-12-01,1300,Paid,0,2025-01-01,0,0,0,1300,false,,
10049,10049,2024-12-15,1100,Paid,0,2025-01-15,0,0,0,1100,false,,
10050,10050,2025-01-06,1050,Late,0,2025-02-06,45,5,20,,true,2025-01-06,Defaulted