Transaction ID,Customer ID,Transaction Date,Transaction Amount,Transaction Type,Category,Merchant Name,Payment Method,Credit Card Balance,Credit Card Limit,Credit Utilization Ratio,Monthly Debt Payment,Total Monthly Expenses,Total Monthly Income
T2023-07-26-001,C001,2023-07-26,120.5,Purchase,Food,McDonald's,Credit,500,1000,0.5,250,1500,5000
T2023-07-26-002,C002,2023-07-25,80.25,Purchase,Groceries,Whole Foods,Cash,750,2000,0.375,300,1800,6000
T2023-07-26-003,C003,2023-07-24,100,Refund,Clothing,Zara,Credit,550,1500,0.3667,220,1600,4500
T2023-07-26-004,C004,2023-07-23,180,Purchase,Travel,Expedia,Debit,350,1000,0.35,250,2200,7000
T2023-07-26-005,C005,2023-07-22,60,Purchase,Electronics,Best Buy,Credit,700,2000,0.35,300,1800,5000
T2023-07-26-006,C006,2023-07-21,220,Purchase,Home,IKEA,Cash,600,1500,0.4,280,2000,5500
T2023-07-26-007,C007,2023-07-20,120,Refund,Sports,Dick's Sporting Goods,Credit,450,1000,0.45,250,1700,4000
T2023-07-26-008,C008,2023-07-19,200,Purchase,Automotive,CarMax,Debit,500,1500,0.3333,300,2200,6000
T2023-07-26-009,C009,2023-07-18,150,Purchase,Health and Beauty,Sephora,Credit,700,2000,0.35,320,2000,4500
T2023-07-26-010,C010,2023-07-17,180,Refund,Pets,Petco,Debit,300,1000,0.3,250,1900,5000
T2023-07-26-011,C011,2023-07-16,110,Purchase,Toys,Toys R Us,Credit,550,1500,0.3667,280,2000,4000
T2023-07-26-012,C012,2023-07-15,250,Purchase,Books,Barnes & Noble,Debit,400,1000,0.4,250,2200,5000
T2023-07-26-013,C013,2023-07-14,130,Refund,Music,Best Buy,Credit,600,1500,0.4,250,1900,4500
T2023-07-26-014,C014,2023-07-13,220,Purchase,Home and Garden,Home Depot,Debit,450,1000,0.45,300,2000,4000
T2023-07-26-015,C015,2023-07-12,160,Refund,Electronics,Amazon,Credit,350,1200,0.2917,220,1800,4200
T2023-07-26-016,C016,2023-07-11,180,Purchase,Food and Beverages,Costco,Debit,250,800,0.3125,200,2200,5200
T2023-07-26-017,C017,2023-07-10,200,Refund,Clothing,Zara,Credit,500,1800,0.2778,280,2000,4800
T2023-07-26-018,C018,2023-07-09,150,Purchase,Sports,Nike,Debit,300,1000,0.3,250,1900,4900
T2023-07-26-019,C019,2023-07-08,220,Refund,Home and Garden,IKEA,Credit,400,1200,0.3333,240,2100,5400
T2023-07-26-020,C020,2023-07-07,120,Purchase,Electronics,Apple Store,Debit,350,1000,0.35,220,1800,4800
T2023-07-26-021,C021,2023-07-06,250,Refund,Books,Barnes & Noble,Credit,550,1800,0.3056,280,2000,5200
T2023-07-26-022,C022,2023-07-05,180,Purchase,Food and Beverages,Starbucks,Debit,250,1000,0.24,200,2200,4800
T2023-07-26-023,C023,2023-07-04,140,Refund,Toys,Toys R Us,Credit,450,1200,0.375,240,2000,4600
T2023-07-26-024,C024,2023-07-03,220,Purchase,Health and Beauty,Sephora,Debit,350,1000,0.35,220,2200,5200
T2023-07-26-025,C025,2023-07-02,200,Refund,Music,Best Buy,Credit,550,1500,0.3667,280,2000,4800
T2023-07-26-026,C026,2023-07-01,180,Purchase,Clothing,Zara,Debit,400,1000,0.4,250,2200,5000
T2023-07-26-027,C027,2023-06-30,120,Refund,Sports,Nike,Credit,300,1000,0.3,220,1800,4400
T2023-07-26-028,C028,2023-06-29,250,Purchase,Home and Garden,Home Depot,Debit,450,1200,0.375,300,2300,4800
T2023-07-26-029,C029,2023-06-28,180,Refund,Electronics,Amazon,Credit,500,1800,0.2778,250,2100,5000
T2023-07-26-030,C030,2023-06-27,220,Purchase,Food and Beverages,Costco,Debit,300,1000,0.22,200,2200,5200
T2023-07-26-031,C031,2023-06-26,150,Refund,Clothing,Zara,Credit,400,1500,0.2667,220,1900,4400
T2023-07-26-032,C032,2023-06-25,200,Purchase,Sports,Nike,Debit,350,1200,0.2917,250,2200,4800
T2023-07-26-033,C033,2023-07-03,220,Refund,Music,Best Buy,Credit,600,1600,0.375,280,2000,4800
T2023-07-26-034,C034,2023-07-04,180,Purchase,Clothing,Zara,Debit,420,1100,0.382,260,2200,5100
T2023-07-26-035,C035,2023-07-05,120,Refund,Sports,Nike,Credit,320,1300,0.2469,240,1900,4500
T2023-07-26-036,C036,2023-07-06,250,Purchase,Home and Garden,Home Depot,Debit,460,1400,0.3286,300,2400,5200
T2023-07-26-037,C037,2023-07-07,180,Refund,Electronics,Amazon,Credit,520,1900,0.2732,260,2100,5300
T2023-07-26-038,C038,2023-07-08,220,Purchase,Food and Beverages,Costco,Debit,340,1300,0.2615,230,2200,5500
T2023-07-26-039,C039,2023-07-09,150,Refund,Clothing,Zara,Credit,470,1600,0.2938,240,1900,4600
T2023-07-26-040,C040,2023-07-10,200,Purchase,Sports,Nike,Debit,380,1400,0.2714,250,2200,4900
T2023-07-26-041,C041,2023-07-11,220,Refund,Music,Best Buy,Credit,590,1700,0.3465,280,2000,4900
T2023-07-26-042,C042,2023-07-12,180,Purchase,Clothing,Zara,Debit,450,1200,0.375,260,2200,5100
T2023-07-26-043,C043,2023-07-13,120,Refund,Sports,Nike,Credit,410,1500,0.2733,240,1900,4500
T2023-07-26-044,C044,2023-07-14,250,Purchase,Home and Garden,Home Depot,Debit,490,1600,0.3063,300,2400,5200
T2023-07-26-045,C045,2023-07-15,180,Refund,Electronics,Amazon,Credit,540,2000,0.27,260,2100,5300
T2023-07-26-046,C046,2023-07-16,220,Purchase,Food and Beverages,Costco,Debit,420,1500,0.2833,230,2200,5500
T2023-07-26-047,C047,2023-07-17,150,Refund,Clothing,Zara,Credit,480,1700,0.2824,240,1900,4600
T2023-07-26-048,C048,2023-07-18,200,Purchase,Sports,Nike,Debit,430,1600,0.2679,250,2200,4900
T2023-07-26-049,C049,2023-07-19,220,Refund,Music,Best Buy,Credit,610,1800,0.3389,280,2000,4900
T2023-07-26-050,C050,2023-07-20,180,Purchase,Clothing,Zara,Debit,460,1400,0.3286,260,2200,5100